Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2, C6",0805,3,10uF,
"C3, C4",0805,2,1uF,
C5,0805,1,4.7uF,
C9,CP_Elec_4x5.4,1,0.1uF,
"D1, D10, D11, D13, D14, D15, D16, D17, D18, D19, D5, D6, D7, D8, D9",LED_PLCC_2835,15,LED,C7423443
D12,D_SMA,1,D_Schottky,C5350986
D2,0603,1,LED,C22371297
D3,0603,1,LED,C84263
D4,D_SMA,1,D,C5154212
H1,HDR-TH_4P-P2.54-V-M,1,PZ254V-11-04P_C2691448,C2691448
L1,L_Ferrocore_DLG-0403,1,10uH,C2929419
Q1,SOT-23-6_L2.9-W1.6-P0.95-LS2.8-BR,1,FS8205A_C2830320,C2830320
R1,0805,1,2.4k,
R10,0805,1,100,
R11,0805,1,1k,
"R2, R3",0805,2,210,
R4,0805,1,0.4,
R5,0805,1,1M,
"R6, R7",0805,2,5.11k,
R8,0805,1,0.25,
SW1,SW-SMD_4P-L6.0-W6.0-P4.50-LS9.0-2,1,TS-1002S-04526C,C455109
U1,ESOP-8_L4.9-W3.9-P1.27-LS6.0-BL-EP,1,TP4056_C725790,C725790
U2,TO-252-3_L6.6-W6.1-P2.28-LS10.1-BL,1,BL8072COTR33,C5155191
U3,COMM-SMD_22P-L24.0-W16.0-P2.00_ZIGBEE,1,AI-WB2-12F,C5187541
U4,SOT-23-5_L2.9-W1.6-P0.95-LS2.8-BL,1,LGS63042,C5123978
U5,SOT-23-6,1,DW01A,
U6,HDR-TH_2P-P2.54-H-F-W10.0-N,1,XDM254-1-02-W-8.5-G0,C19268733
USB1,TYPE-C-SMD_TYPE-C-6P_5,1,TYPE-C 6P(073),C668623
