Designator,Mid X,Mid Y,Rotation,Layer
C1,179.45,-50.5,180.0,bottom
C2,199.5,-52.0,0.0,bottom
C3,177.5,-41.5,0.0,bottom
C4,177.5,-39.0,0.0,bottom
C5,176.05,-53.0,180.0,top
C6,173.0,-55.5,0.0,top
C9,192.0,-54.5,180.0,bottom
D1,42.0,-47.375,90.0,top
D10,112.0,-47.375,90.0,top
D11,72.0,-47.375,90.0,top
D12,181.0,-55.5,0.0,bottom
D13,172.0,-47.375,90.0,top
D14,162.0,-47.375,90.0,top
D15,102.0,-47.375,90.0,top
D16,152.0,-47.375,90.0,top
D17,52.0,-47.375,90.0,top
D18,32.0,-47.375,90.0,top
D19,62.0,-47.375,90.0,top
D2,18.75881,-39.0,0.0,bottom
D3,18.75881,-36.41,0.0,bottom
D4,30.97131,-37.5,0.0,bottom
D5,92.0,-47.375,90.0,top
D6,142.0,-47.375,90.0,top
D7,132.0,-47.375,90.0,top
D8,122.0,-47.375,90.0,top
D9,82.0,-47.375,90.0,top
H1,205.0,-46.73,270.0,top
L1,172.5,-54.5,180.0,bottom
Q1,188.05,-49.0,90.0,bottom
R1,173.0,-47.5,270.0,bottom
R10,192.5625,-48.5,180.0,bottom
R11,187.0,-43.5,90.0,top
R2,22.53381,-36.5,180.0,bottom
R3,22.53381,-39.5,180.0,bottom
R4,181.0,-41.9375,270.0,top
R5,25.40881,-44.0,180.0,bottom
R6,25.47131,-49.0,180.0,bottom
R7,25.47131,-46.5,180.0,bottom
R8,169.0,-43.0,90.0,top
SW1,218.5,-47.0,0.0,top
U1,179.5,-46.0,90.0,bottom
U2,193.98,-39.5,0.0,bottom
U3,217.5,-46.5,90.0,bottom
U4,188.55,-53.0,270.0,top
U5,191.5,-45.5,90.0,bottom
U6,199.5,-53.0,0.0,top
USB1,19.57,-47.9,90.0,bottom
